PAGINA,DESCRIPCION,PRECIO,CLAVE MX,CONTADO MX,CRÉDITO MX
36,"007-574 (3Y - 5Y, 6M - 11M, 5W - 10W) NEGRO", 47.80 ,TZ55600K, 645.00 , 699.99 
36,009-524 (7 - 11) AZUL, 37.60 ,WA43700Z, 507.00 , 549.99 
38,"007-489 (3Y - 5Y, 6M - 11M, 5W - 10W) VERDE", 34.10 ,NÑ39700K, 461.00 , 499.99 
38,"007-573 (3Y - 5Y, 6M - 11M, 5W - 10W) NEGRO", 39.60 ,ÑP46000K, 534.00 , 579.99 
38,"007-573 (3Y - 5Y, 6M - 11M, 5W - 10W) BLANCO", 39.60 ,ÑP46000K, 534.00 , 579.99 
38,"007-573 (3Y - 5Y, 6M - 11M, 5W - 10W) ROJO", 39.60 ,ÑP46000K, 534.00 , 579.99 
39,007-490 (8-11) MARINO MULTI, 39.60 ,YK46000O, 534.00 , 579.99 
39,007-983 (7 - 12) NEGRO, 39.60 ,RP46000O, 534.00 , 579.99 
39,009-392 (7 - 11) GRIS, 39.60 ,OA46000S, 534.00 , 579.99 
40,"000-487 (3Y - 5Y, 6M - 11M, 5W - 10W) BLANCO", 36.20 ,XR42100J, 489.00 , 529.99 
40,005-536 ONE SIZE BLANCO, 5.80 ,DH6700C, 78.00 , 84.99 
40,005-536 ONE SIZE GRIS, 5.80 ,DH6700C, 78.00 , 84.99 
40,007-441 ONE SIZE BLANCO, 5.80 ,RT6700G, 78.00 , 84.99 
40,"007-491 (3Y - 5Y, 6M - 11M) NEGRO", 41.00 ,HT47600E, 553.00 , 599.99 
40,007-493 (7 - 11) BLANCO, 34.10 ,YZ39700H, 461.00 , 499.99 
42,007-476 (7 - 12) NEGRO, 39.60 ,OQ46000C, 534.00 , 579.99 
42,007-594 (7 - 11) VINO, 41.00 ,JU47600G, 553.00 , 599.99 
42,007-646 (7 - 11) CHOCOLATE, 41.00 ,BS47600O, 553.00 , 599.99 
42,009-456 (7 - 12) NEGRO, 47.80 ,XD55600U, 645.00 , 699.99 
42,009-604 VENTA SOLO EN MEXICO , 0.10 ,FV2999N, 34.99 , 39.99 
43,007-602 (7 - 11) MIEL, 58.00 ,ES67500Y, 783.00 , 849.99 
