PAGINA,DESCRIPCION,PRECIO, PRECIO ,CORRECCIONES
66,"8286 (S,M,L,XL) BLUSA",13.75, $11.00 
66,"8356 (S,M,L) FALDA",15.00, $12.00 
67,"8267 (S,M,L,XL) BLUSA",14.75, $11.00 
67,"8355 (S,M,L) FALDA",15.00, $12.00 
68,"8266 (S,M,L,XL) BLUSA",13.75, $11.00 
68,"8271 (S,M,L,XL) BLUSA",15.00, $12.00 
68,"8347 (S,M,L,XL) FALDA",15.00, $12.00 
68,"8277 (S,M,L,XL) FALDA",13.75, $11.00 
69,"5003 (S,M) BLUSA",12.00, $8.00 
69,"8319 (S,M,L,XL) BLUSA",16.25, $13.00 
69,6004 UNITALLA LEGGINS,8.99, $6.00 
69,1550 UNITALLA LEGGINS,8.99, $6.00 
70,"8350 (S,M,L,XL) BLUSA",17.50, $14.00 
70,5986 UNITALLA LEGGINS,10.00, $8.00 
71,"8273 (S,M,L,XL) BLUSA",15.00, $12.00 
71,"6646 (S,M,L,XL) JEGGINS",15.00, $12.00 
72,"8279 (S,M,L,XL) BLUSA",15.00, $12.00 
72,"8368 (S,M,L) PANTALON",15.00, $12.00 
73,"8306 (S,M,L,XL) BLUSA",15.00, $12.00 
73,5978 UNITALLA LEGGINS,8.50, $6.00 
74,"6743 (S/M, L/XL) JEGGINS",15.00, $12.00 
74,"6813 (S/M, L/XL) JEGGINS",10.00, $8.00 
74,5982 UNITALLA LEGGINS,9.45, $7.00 
75,"5998 (S/M, L/XL) LEGGINS",9.45, $7.00 
75,5995 UNITALLA LEGGINS,9.45, $7.00 
75,6000 (S/M) LEGGINS,9.45, $7.00 
75,5973 UNITALLA LEGGINS,6.75, $5.00 
75,1108 UNITALLA LEGGINS,9.45, $7.00 
75,1106 UNITALLA LEGGINS,9.45, $7.00 
76,"8289 (S,M,L,XL) PALAZZO",42.50, $34.00 
77,"8290 (S,M,L,XL) PALAZZO",42.50, $34.00 
78,7276 UNITALLA BLUSA,8.10, $6.00 
78,"8108 (S,M,L,XL) OVEROLL",32.50, $26.00 
79,"8130 (S,M,L,XL) PANTALON Y CHALECO",32.50, $26.00 
80,"8113 (S,M,L,XL)BLUSA",17.50, $14.00 
80,"8109 (S,M,L,XL) OVEROLL",32.50, $26.00 
81,"8131 (S,M,L,XL) OVEROLL",32.50, $26.00 
82,"8270 (S,M,L,XL) BLUSA",16.25, $13.00 
82,"6697 (S,M,L,XL) JEGGINS",15.00, $12.00 
83,"8281 (S,M,L,XL) BLUSA",15.00, $12.00 
83,"8335 (S,M,L) JEGGINS",16.25, $13.00 
84,"2829 (S,M,L,XL) BLUSA",15.00, $12.00 
84,"3040 (S,M,L,XL) PANTALON",15.00, $12.00 
85,"8325 (S,M,L,XL,2XL) BLUSA",16.25, $13.00 
85,1549 UNITALLA LEGGINS,9.45, $7.00 
86,"8340 (S,M,L,XL,2XL) BLUSA",17.50, $14.00 
86,"8371 (S,M,L) PANTALON",15.00, $12.00 
87,"8278 (S,M,L,XL) BLUSA",16.25, $13.00 
87,5985 UNITALLA LEGGINS,9.45, $7.00 
88,"8269 (S,M,L,XL) BLUSA",16.25, $13.00 
88,7092 UNITALLA LEGGINS,8.10, $6.00 
89,"8308 (S,M,L,XL) BLUSA",16.25, $13.00 
89,"8371 (S,M,L) PANTALON",15.00, $12.00 
89,"8316 (S,M,L,XL) BLUSA",16.25, $13.00 
89,"1405 (S,M,L,XL) PANTALON",17.50, $14.00 
90,"8318 (S,M,L,XL,2XL) BLUSA",18.75, $15.00 
90,"8329 (S,M,L,XL) JEANS",20.00, $16.00 
91,"8263 (S,M,L,XL) BLUSA",16.25, $13.00 
91,"8372 (S,M,L) PANTALON",15.00, $12.00 
92,"2921 (S,M,L,XL) BLUSA",12.50, $10.00 
92,"6844 (S,M,L) PANTALON",10.00, $8.00 
93,"3508 (S,M,L,XL) CORSETTE",36.25, $29.00 
93,"8258 (0,1,3,5,7,9,11,13,15) JEANS",17.50, $14.00 
94,"2809 (M,L,XL) BLUSA",15.00, $12.00 
94,"8257 (0,1,3,5,7,9,11,13,15) JEANS",17.50, $14.00 
95,"6566 (M,L) BLUSA",8.10, $6.00 
