PAGINA,MODELO,PRECIO,
253,"315-59 (5,7,9,11,13) AZUL",     30.99 ,
254,730-30 ONE SIZE NEGRO/ORO,     14.99 ,
254,795-09 (S/M Y L/XL) MIEL/ORO,     12.99 ,
254,612-14 (S/M Y L/XL) NEGRO/ORO,     14.99 ,
254,396-37 (S/M Y L/XL) MIEL,     13.99 ,
254,612-15 (S/M Y L/XL) ORO/ANTIMONIO,     13.99 ,
255,825-15 (S/M Y L/XL) CAFÉ,     13.99 ,
255,825-18 (S/M Y L/XL) NEGRO/ORO,     14.99 ,
255,730-28 ONE SIZE ORO,     10.99 ,
255,772-02 (S/M Y L/XL) MIEL,     14.99 ,
255,825-17 (S/M Y L/XL) ORO/CAMEL,     14.99 ,
256,772-03 (S/M Y L/XL) NEGRO,     14.99 ,
256,396-36 (S/M Y L/XL) CHOCOLATE,     18.99 ,
256,825-16 (S/M Y L/XL) TRIO MULTICOLOR,     13.99 ,
256,730-29 ONE SIZE ORO,        8.99 ,
256,396-38 (S/M Y L/XL) NEGRO,     14.99 ,
256,396-39 (S/M Y L/XL) ORO,     14.99 ,
257,"168-13 (5,7,9,11,13) AZUL MEZCLILLA",     27.99 ,
257,121-01 (S/M Y L/XL) PIEL,     11.99 ,
258,269-13 (S/M Y L/XL) IVORY,        8.99 ,
258,269-12 (S/M Y L/XL) PIEL,     14.99 ,
