PAGINA,MODELO,PRECIO,
65,"179-49 (S,M,L,XL) ROJO",     25.99 ,
67,795-09 (S/M Y L/XL) MIEL/ORO,     12.99 ,
67,"929-10 (S,M,L,XL) VERDE",     24.99 ,
68,"881-04 (5,7,9,11,13) BLANCO",     26.99 ,
68,730-28 ONE SIZE ORO,     10.99 ,
68,"939-25 (S,M,L,XL) AZUL REY ESTAMPADO",     21.99 ,
69,"273-68 (S,M,L,XL) NARANJA",     28.99 ,
70,"928-20 (S,M,L,XL) BLANCO",     25.99 ,
71,"887-32 (S,M,L,XL) KAQUI",     23.99 ,
72,"887-32 (S,M,L,XL) KAQUI",     23.99 ,
72,825-17 (S/M Y L/XL) ORO/CAMEL,     14.99 ,
72,"929-22 (S,M,L,XL) NARANJA MULTICOLOR",     22.99 ,
73,"967-05 (S,M,L,XL) NEGRO",     20.99 ,
74,795-09 (S/M Y L/XL) MIEL/ORO,     12.99 ,
74,"315-59 (5,7,9,11,13) AZUL",     30.99 ,
74,"315-59 (5,7,9,11,13) AZUL",     30.99 ,
74,"963-10 (S,M,L,XL) ROJO",     20.99 ,
75,"954-13 (5,7,9,11,13) BLANCO",     24.99 ,
76,"954-13 (5,7,9,11,13) BLANCO",     24.99 ,
76,"929-19 (S,M,L,XL) AZUL MARINO/BLANCO",     22.99 ,
77,"103-25 (5,7,9,11,13) NEGRO",     22.99 ,
77,"939-16 (S,M,L,XL) ROSA/BEIGE",     22.99 ,
78,"712-69 (S,M,L,XL) AZUL",     31.99 ,
79,"990-13 (5,7,9,11,13) NARANJA",     27.99 ,
80,"990-13 (5,7,9,11,13) NARANJA",     27.99 ,
80,396-36 (S/M Y L/XL) CHOCOLATE,     18.99 ,
80,"971-00 (S,M,L,XL) IVORY",     24.99 ,
81,"990-15 (5,7,9,11,13) ARENA",     26.99 ,
81,825-15 (S/M Y L/XL) CAFÉ,     13.99 ,
81,"929-23 (S,M,L,XL) TURQUESA",     18.99 ,
82,"118-07 (5,7,9,11,13) AZUL MEZCLILLA",     21.99 ,
82,"939-22 (S,M,L,XL) MORADO MULTICOLOR",     22.99 ,
83,"222-67 (S,M,L,XL) IVORY/ AZUL REY",     29.99 ,
84,"907-05 (S,M,L,XL) AZUL/REY",     21.99 ,
84,"222-67 (S,M,L,XL) IVORY/ AZUL REY",     29.99 ,
85,"156-22 (S,M,L,XL) AZUL MARINO/MULTICOLOR",     32.99 ,
86,"990-14 (5,7,9,11,13) KAQUI",     27.99 ,
86,"939-24 (S,M,L,XL) ROJO",     24.99 ,
88,"165-30 (S,M,L,XL) IVORY/MULTICOLOR",     24.99 ,
89,612-14 (S/M Y L/XL) NEGRO/ORO,     14.99 ,
89,"088-01 (S,M,L,XL) NEGRO",     26.99 ,
90,730-29 ONE SIZE ORO,        8.99 ,
90,"219-73 (S,M,L,XL) AZUL/FRANCIA",     33.99 ,
91,"887-34 (S,M,L,XL) MULTICOLOR",     28.99 ,
92,"165-31 (S,M,L,XL) NEGRO",     32.99 ,
93,"366-21 (5,7,9,11,13) CAMEL",     28.99 ,
94,"366-21 (5,7,9,11,13) CAMEL",     28.99 ,
94,"600-24 (S,M,L,XL) ROJO",     20.99 ,
95,"209-11 (S,M,L,XL) NEGRO",     23.99 ,
95,"939-15 (S,M,L,XL) CORAL",     25.99 ,
96,"876-22 (S,M,L,XL) AZUL REY MULTICOLOR",     28.99 ,
97,"934-13 (5,7,9,11,13) CORAL",     29.99 ,
98,"928-16 (S,M,L,XL) BLANCO",     25.99 ,
98,"934-13 (5,7,9,11,13) CORAL",     29.99 ,
99,"462-04 (S,M,L,XL) NEGRO",     14.99 ,
99,"153-35 (S,M,L,XL) MULTICOLOR",     16.99 ,
100,"881-04 (5,7,9,11,13) BLANCO",     26.99 ,
100,"950-31 (S,M,L,XL) AZUL MARINO",     18.99 ,
101,"209-12 (S,M,L,XL) MULTICOLOR",     25.99 ,
101,612-15 (S/M Y L/XL) ORO/ANTIMONIO,     13.99 ,
102,"088-03 (S,M,L,XL) AZUL MARINO",     15.99 ,
102,612-15 (S/M Y L/XL) ORO/ANTIMONIO,     13.99 ,
102,"153-36 (S,M,L,XL) BUGAMBILIA",     15.99 ,
